"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"서울특별시  (1100000000)","9,400,249","4,472,603","          2.10","4,548,150","4,852,099","          0.94"
"서울특별시 종로구 (1111000000)","139,606","72,132","          1.94","67,466","72,140","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,345","5,047","          2.25","5,181","6,164","          0.84"
"서울특별시 종로구 사직동(1111053000)","9,016","4,545","          1.98","4,005","5,011","          0.80"
"서울특별시 종로구 삼청동(1111054000)","2,246","1,114","          2.02","1,073","1,173","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,125","4,135","          2.21","4,319","4,806","          0.90"
"서울특별시 종로구 평창동(1111056000)","17,415","7,142","          2.44","8,107","9,308","          0.87"
"서울특별시 종로구 무악동(1111057000)","7,990","3,013","          2.65","3,663","4,327","          0.85"
"서울특별시 종로구 교남동(1111058000)","9,699","4,342","          2.23","4,454","5,245","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,866","1,912","          2.02","1,789","2,077","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,697","4,922","          1.36","4,070","2,627","          1.55"
"서울특별시 종로구 종로5.6가동(1111063000)","5,396","3,594","          1.50","2,852","2,544","          1.12"
"서울특별시 종로구 이화동(1111064000)","6,931","4,239","          1.64","3,296","3,635","          0.91"
"서울특별시 종로구 혜화동(1111065000)","15,919","9,140","          1.74","7,646","8,273","          0.92"
"서울특별시 종로구 창신제1동(1111067000)","4,537","2,643","          1.72","2,403","2,134","          1.13"
"서울특별시 종로구 창신제2동(1111068000)","7,528","3,998","          1.88","3,897","3,631","          1.07"
"서울특별시 종로구 창신제3동(1111069000)","6,377","2,774","          2.30","3,132","3,245","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,770","2,990","          1.93","2,796","2,974","          0.94"
"서울특별시 종로구 숭인제2동(1111071000)","9,749","6,582","          1.48","4,783","4,966","          0.96"
"서울특별시 중구 (1114000000)","121,300","64,590","          1.88","58,720","62,580","          0.94"
"서울특별시 중구 소공동(1114052000)","2,177","1,240","          1.76","1,028","1,149","          0.89"
"서울특별시 중구 회현동(1114054000)","4,381","2,493","          1.76","2,293","2,088","          1.10"
"서울특별시 중구 명동(1114055000)","2,621","1,399","          1.87","1,101","1,520","          0.72"
"서울특별시 중구 필동(1114057000)","4,002","2,490","          1.61","2,083","1,919","          1.09"
"서울특별시 중구 장충동(1114058000)","4,584","2,860","          1.60","2,406","2,178","          1.10"
"서울특별시 중구 광희동(1114059000)","5,746","3,915","          1.47","2,830","2,916","          0.97"
"서울특별시 중구 을지로동(1114060500)","2,974","2,103","          1.41","1,648","1,326","          1.24"
"서울특별시 중구 신당동(1114061500)","7,439","4,722","          1.58","3,654","3,785","          0.97"
"서울특별시 중구 다산동(1114062500)","13,299","6,789","          1.96","6,448","6,851","          0.94"
"서울특별시 중구 약수동(1114063500)","16,175","7,767","          2.08","7,458","8,717","          0.86"
"서울특별시 중구 청구동(1114064500)","13,026","6,176","          2.11","6,137","6,889","          0.89"
"서울특별시 중구 신당제5동(1114065000)","10,113","5,344","          1.89","4,890","5,223","          0.94"
"서울특별시 중구 동화동(1114066500)","9,953","3,983","          2.50","4,802","5,151","          0.93"
"서울특별시 중구 황학동(1114067000)","12,680","7,411","          1.71","5,991","6,689","          0.90"
"서울특별시 중구 중림동(1114068000)","12,130","5,898","          2.06","5,951","6,179","          0.96"
"서울특별시 용산구 (1117000000)","215,397","108,907","          1.98","103,398","111,999","          0.92"
"서울특별시 용산구 후암동(1117051000)","16,022","8,249","          1.94","7,744","8,278","          0.94"
"서울특별시 용산구 용산2가동(1117052000)","8,937","5,047","          1.77","4,346","4,591","          0.95"
"서울특별시 용산구 남영동(1117053000)","6,838","4,860","          1.41","4,162","2,676","          1.56"
"서울특별시 용산구 청파동(1117055500)","18,997","11,177","          1.70","8,792","10,205","          0.86"
"서울특별시 용산구 원효로제1동(1117056000)","17,082","9,303","          1.84","7,947","9,135","          0.87"
"서울특별시 용산구 원효로제2동(1117057000)","13,638","6,224","          2.19","6,401","7,237","          0.88"
"서울특별시 용산구 효창동(1117058000)","10,719","4,716","          2.27","5,088","5,631","          0.90"
"서울특별시 용산구 용문동(1117059000)","11,439","5,317","          2.15","5,468","5,971","          0.92"
"서울특별시 용산구 한강로동(1117062500)","21,126","11,313","          1.87","9,953","11,173","          0.89"
"서울특별시 용산구 이촌제1동(1117063000)","24,989","9,155","          2.73","11,739","13,250","          0.89"
"서울특별시 용산구 이촌제2동(1117064000)","7,911","3,600","          2.20","3,720","4,191","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","6,029","3,439","          1.75","3,014","3,015","          1.00"
"서울특별시 용산구 이태원제2동(1117066000)","8,617","4,830","          1.78","4,035","4,582","          0.88"
